event,action,req_bytes,aligned_in_use,bytes_from_os,utilization,free_payload,overhead_est
4618,alloc,2999,9455400,11235328,0.841578,1547512,232416
4619,alloc,1778,9457180,11239424,0.841429,1549764,232480
4620,alloc,1115,9458296,11239424,0.841529,1548616,232512
4621,alloc,3184,9461480,11243520,0.841505,1549464,232576
4622,alloc,3933,9465416,11247616,0.841549,1549560,232640
4623,alloc,959,9466376,11247616,0.841634,1548568,232672
4624,alloc,373,9466752,11247616,0.841667,1548160,232704
4625,alloc,509,9467264,11247616,0.841713,1547616,232736
4626,alloc,2126,9469392,11251712,0.841596,1549520,232800
4627,alloc,3934,9473328,11255808,0.841639,1549616,232864
4628,alloc,620,9473948,11255808,0.841694,1548964,232896
4629,alloc,403,9474352,11255808,0.841730,1548528,232928
4630,alloc,1933,9476288,11259904,0.841596,1550624,232992
4631,alloc,1030,9477320,11259904,0.841687,1549560,233024
4632,alloc,337,9477660,11259904,0.841718,1549188,233056
4633,alloc,774,9478436,11259904,0.841787,1548380,233088
4634,alloc,3976,9482412,11264000,0.841833,1548436,233152
4635,alloc,2331,9484744,11268096,0.841734,1550136,233216
4636,alloc,3135,9487880,11272192,0.841707,1551032,233280
4637,alloc,872,9488752,11272192,0.841784,1550128,233312
4638,alloc,1708,9490460,11276288,0.841630,1552452,233376
4639,alloc,931,9491392,11276288,0.841712,1551488,233408
4640,alloc,1909,9493304,11280384,0.841576,1553608,233472
4641,alloc,3052,9496356,11284480,0.841541,1554588,233536
4642,alloc,1068,9497424,11284480,0.841636,1553488,233568
4643,alloc,1514,9498940,11288576,0.841465,1556004,233632
4644,alloc,512,9499452,11288576,0.841510,1555460,233664
4645,alloc,498,9499952,11288576,0.841555,1554928,233696
4646,alloc,1247,9501200,11288576,0.841665,1553648,233728
4647,alloc,3985,9505188,11292672,0.841713,1553692,233792
4648,alloc,350,9505540,11292672,0.841744,1553308,233824
4649,alloc,1987,9507528,11296768,0.841615,1555352,233888
4650,alloc,1153,9508684,11296768,0.841717,1554164,233920
4651,alloc,1217,9509904,11300864,0.841520,1556976,233984
4652,alloc,490,9510396,11300864,0.841564,1556452,234016
4653,alloc,3112,9513508,11304960,0.841534,1557372,234080
4654,alloc,2197,9515708,11304960,0.841729,1555140,234112
4655,alloc,2579,9518288,11309056,0.841652,1556592,234176
4656,alloc,2772,9521060,11313152,0.841592,1557852,234240
4657,alloc,3003,9524064,11317248,0.841553,1558880,234304
4658,alloc,562,9524628,11317248,0.841603,1558284,234336
4659,alloc,1468,9526096,11321344,0.841428,1560848,234400
4660,alloc,874,9526972,11321344,0.841505,1559940,234432
4661,alloc,869,9527844,11321344,0.841582,1559036,234464
4662,alloc,338,9528184,11321344,0.841612,1558664,234496
4663,alloc,528,9528712,11321344,0.841659,1558104,234528
4664,alloc,3347,9532060,11325440,0.841650,1558788,234592
4665,alloc,3932,9535992,11329536,0.841693,1558888,234656
4666,alloc,14,9536008,11329536,0.841694,1558840,234688
4667,alloc,1496,9537504,11333632,0.841522,1561376,234752
4668,alloc,1645,9539152,11333632,0.841668,1559696,234784
4669,alloc,1704,9540856,11337728,0.841514,1562024,234848
4670,alloc,2556,9543412,11341824,0.841435,1563500,234912
4671,alloc,568,9543980,11341824,0.841485,1562900,234944
4672,alloc,2772,9546752,11345920,0.841426,1564160,235008
4673,alloc,1773,9548528,11350016,0.841279,1566416,235072
4674,alloc,1592,9550120,11350016,0.841419,1564792,235104
4675,alloc,1033,9551156,11350016,0.841510,1563724,235136
4676,alloc,3234,9554392,11354112,0.841492,1564520,235200
4677,alloc,2670,9557064,11358208,0.841424,1565880,235264
4678,alloc,2741,9559808,11362304,0.841362,1567168,235328
4679,alloc,2735,9562544,11366400,0.841299,1568464,235392
4680,alloc,2920,9565464,11370496,0.841253,1569576,235456
4681,alloc,3095,9568560,11374592,0.841222,1570512,235520
4682,alloc,1906,9570468,11378688,0.841087,1572636,235584
4683,alloc,658,9571128,11378688,0.841145,1571944,235616
4684,alloc,1075,9572204,11378688,0.841240,1570836,235648
4685,alloc,2739,9574944,11382784,0.841178,1572128,235712
4686,alloc,1295,9576240,11382784,0.841292,1570800,235744
4687,alloc,2458,9578700,11386880,0.841205,1572372,235808
4688,alloc,3339,9582040,11390976,0.841196,1573064,235872
4689,alloc,3868,9585908,11395072,0.841233,1573228,235936
